"","X.1","X","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean","state","year","sex","Census_Region","Census_Division","stabbrs","state.map.order","stabbrs.map.order"
"36",36,36,"Alabama.1986.Male",70.5583351608575,70.7136815214062,70.8753672906937,70.7123929945848,64.4679518369623,64.7436891180549,65.0141431134421,64.7424452907854,5.66561438528729,5.97434750166222,6.2854366088428,5.96994770379932,"Alabama",1986,"Male","South","East South Central","AL","Alabama","AL"
"37",37,37,"Alabama.1987.Female",78.5963704563568,78.7502011634571,78.9075278072687,78.7500394916995,73.4330840468517,73.6942175624197,73.9791649544074,73.6994120070119,4.73192740032642,5.0511866439624,5.35519545468539,5.05062748468758,"Alabama",1987,"Female","South","East South Central","AL","Alabama","AL"
"38",38,38,"Alabama.1987.Male",70.7027854517815,70.8594650590599,71.0207264457345,70.8586161518913,64.4900384704247,64.7801294051788,65.0678412816913,64.7847773889321,5.75421211636132,6.07253820410821,6.39292501454162,6.07383876295913,"Alabama",1987,"Male","South","East South Central","AL","Alabama","AL"
"39",39,39,"Alabama.1988.Female",78.5018716653759,78.6403592447876,78.7879847810747,78.6425772259251,73.4899910179335,73.7523966085868,74.0121766269802,73.7523781692703,4.58143370547578,4.89141150776425,5.18504644759385,4.89019905665475,"Alabama",1988,"Female","South","East South Central","AL","Alabama","AL"
"40",40,40,"Alabama.1988.Male",70.8152152899902,70.9671399505419,71.1183673178735,70.9659921741773,64.3478763952775,64.6261653737329,64.9007246480362,64.6221926454367,6.01572363795404,6.34620344103462,6.668936889602,6.34379952874059,"Alabama",1988,"Male","South","East South Central","AL","Alabama","AL"
"41",41,41,"Alabama.1989.Female",78.6379005390236,78.7794452353817,78.9353998010295,78.7804529103268,73.5675945016095,73.8312098773179,74.0851527408984,73.8313921272324,4.66281355197196,4.94543082880651,5.25160075783258,4.94906078309439,"Alabama",1989,"Female","South","East South Central","AL","Alabama","AL"
"42",42,42,"Alabama.1989.Male",70.9286884074926,71.0861108421679,71.2433746446235,71.0862145367733,64.2920765171334,64.570356609098,64.8453202297534,64.5717175354504,6.20868559341683,6.50963645777591,6.8378691333896,6.51449700132281,"Alabama",1989,"Male","South","East South Central","AL","Alabama","AL"
"43",43,43,"Alabama.1990.Female",78.7831001167644,78.9212138815379,79.072323950862,78.9218559863806,73.7005386254883,73.9667954072797,74.2402580877374,73.9673836843474,4.64910092602989,4.95732525678832,5.24450042289692,4.95447230203322,"Alabama",1990,"Female","South","East South Central","AL","Alabama","AL"
"44",44,44,"Alabama.1990.Male",71.1046506005996,71.2597966179866,71.4142476582466,71.2596890730371,64.3183432692149,64.586245836214,64.8565213711857,64.5850640475211,6.35657926236932,6.66938849970031,6.98129014743085,6.67462502551592,"Alabama",1990,"Male","South","East South Central","AL","Alabama","AL"
"45",45,45,"Alabama.1991.Female",78.8469190997856,78.9982648257856,79.1392267950096,78.9974401895073,73.8441738155347,74.103255416975,74.3804656867524,74.1052195554564,4.58219387251814,4.89355191494611,5.19523118647361,4.89222063405087,"Alabama",1991,"Female","South","East South Central","AL","Alabama","AL"
"46",46,46,"Alabama.1991.Male",71.2773982319039,71.4274351102973,71.5737913496591,71.4263723612006,64.3157026584654,64.591160343581,64.85880818572,64.5907392340239,6.53135706728479,6.83155933325735,7.13883148554414,6.83563312717665,"Alabama",1991,"Male","South","East South Central","AL","Alabama","AL"
"47",47,47,"Alabama.1992.Female",79.0261791554709,79.1719685281016,79.3243131367709,79.1717950632199,74.0337202729764,74.2934129535997,74.5484837423435,74.2912141903657,4.57777812533698,4.87795299218715,5.18873263106439,4.8805808728543,"Alabama",1992,"Female","South","East South Central","AL","Alabama","AL"
"48",48,48,"Alabama.1992.Male",71.5223471296267,71.662941236039,71.8040716891107,71.6627012298419,64.5663046220294,64.8228788170838,65.0989119121301,64.8260258072711,6.52338381720914,6.8413491850473,7.14025492635124,6.83667542257083,"Alabama",1992,"Male","South","East South Central","AL","Alabama","AL"
"49",49,49,"Alabama.1993.Female",78.7403001861662,78.8806703730388,79.0295549347319,78.8814837757891,74.0746302203614,74.3257461241906,74.5873680614124,74.329271128875,4.26730600029996,4.55118489848079,4.84538322279047,4.55221264691408,"Alabama",1993,"Female","South","East South Central","AL","Alabama","AL"
"50",50,50,"Alabama.1993.Male",71.646453618666,71.7902570815347,71.9368137084514,71.7917360615488,64.7061475907112,64.9773410089606,65.2451798812995,64.9791807485213,6.51435161920096,6.8087155618767,7.1178049196162,6.8125553130275,"Alabama",1993,"Male","South","East South Central","AL","Alabama","AL"
"51",51,51,"Alabama.1994.Female",78.7582904079808,78.9073522123636,79.0454716233114,78.9050015691905,74.2452850968468,74.4888320046864,74.7211725562368,74.486539733504,4.12312730705705,4.41660155102608,4.70584047484714,4.41846183568646,"Alabama",1994,"Female","South","East South Central","AL","Alabama","AL"
"52",52,52,"Alabama.1994.Male",71.7446880759108,71.8924858685392,72.0273127840564,71.8922039533707,64.8350287859608,65.0916324139547,65.3614707229882,65.0933594870016,6.49949582596375,6.80056846624816,7.09306700587776,6.79884446636906,"Alabama",1994,"Male","South","East South Central","AL","Alabama","AL"
"53",53,53,"Alabama.1995.Female",78.7322886549904,78.8624647038079,79.0099920969094,78.8627505824556,74.3409483376876,74.6036859298154,74.8511831811099,74.6003308468506,3.95966675521451,4.25839620946881,4.54906177910828,4.26241973560499,"Alabama",1995,"Female","South","East South Central","AL","Alabama","AL"
"54",54,54,"Alabama.1995.Male",71.7976092745326,71.9434853781413,72.1038441868442,71.9432454127028,64.963810307349,65.2191130314346,65.4930276463984,65.2251758033,6.4112558670861,6.72134541663324,7.01386799487892,6.71806960940271,"Alabama",1995,"Male","South","East South Central","AL","Alabama","AL"
"55",55,55,"Alabama.1996.Female",78.6956661425221,78.8379623672537,78.9753208214696,78.8385121365807,74.4217674555847,74.6660206110145,74.9010869780155,74.6671727110143,3.89853905993407,4.16659535546007,4.44846506729053,4.17133942556639,"Alabama",1996,"Female","South","East South Central","AL","Alabama","AL"
"56",56,56,"Alabama.1996.Male",71.8786571316136,72.0078033127733,72.1508082915533,72.0097611697739,65.2874698809298,65.5232659230031,65.8061082285623,65.5288218999171,6.17300993678305,6.4813514508023,6.7696725356967,6.48093926985686,"Alabama",1996,"Male","South","East South Central","AL","Alabama","AL"
"57",57,57,"Alabama.1997.Female",78.6198430781731,78.7498808000295,78.8915030647069,78.7517639069208,74.4792259581481,74.7334518432444,74.9738143384001,74.7333223664581,3.74186331905072,4.0169348200434,4.30038662578828,4.01844154046269,"Alabama",1997,"Female","South","East South Central","AL","Alabama","AL"
"58",58,58,"Alabama.1997.Male",72.0399789796149,72.1817881161765,72.3184697848884,72.179522155633,65.657288734935,65.9131399828864,66.1712065510228,65.9153979512308,5.97150533776026,6.26481218694057,6.56908624417869,6.26412420440226,"Alabama",1997,"Male","South","East South Central","AL","Alabama","AL"
"59",59,59,"Alabama.1998.Female",78.5167587464252,78.6570252366807,78.7829436367941,78.6556930104478,74.4232625771898,74.6719568608812,74.9369631687779,74.6738518155608,3.6953117973024,3.98569163432314,4.26118990687243,3.98184119488701,"Alabama",1998,"Female","South","East South Central","AL","Alabama","AL"
"60",60,60,"Alabama.1998.Male",72.1563987365696,72.2936289143194,72.4365675031594,72.2970616874455,66.0044994667593,66.26315605656,66.5109718700215,66.2611511860499,5.73659988568095,6.03992523144303,6.33013231336252,6.03591050139558,"Alabama",1998,"Male","South","East South Central","AL","Alabama","AL"
"61",61,61,"Alabama.1999.Female",78.4144198014509,78.5498748268232,78.6867233767194,78.5493195076408,74.4885252091336,74.7441411627092,74.9582487844106,74.7374125407107,3.55944998389745,3.8055390627263,4.09181455566969,3.81190696693003,"Alabama",1999,"Female","South","East South Central","AL","Alabama","AL"
"62",62,62,"Alabama.1999.Male",72.2735595324573,72.4157592103612,72.5483042454377,72.4159834871739,66.2028763495409,66.4707855438475,66.7405401854177,66.4688491711777,5.65239000496187,5.95077852271908,6.22405322120819,5.9471343159962,"Alabama",1999,"Male","South","East South Central","AL","Alabama","AL"
"63",63,63,"Alabama.2000.Female",78.394744399104,78.5205286429428,78.6506505196398,78.5201351743494,74.5422422085486,74.7831854230668,75.0000217285765,74.7835337990758,3.49141924945966,3.73205543595657,4.01628576658538,3.73660137527359,"Alabama",2000,"Female","South","East South Central","AL","Alabama","AL"
"64",64,64,"Alabama.2000.Male",72.3421328187338,72.4911430720339,72.6329981967239,72.4867732833164,66.458180755503,66.7282741957393,66.9868605381316,66.7235424186093,5.46353213424216,5.76105893622561,6.07225371940107,5.76323086470714,"Alabama",2000,"Male","South","East South Central","AL","Alabama","AL"
"65",65,65,"Alabama.2001.Female",78.3305033921065,78.4510684972278,78.5797640347498,78.4531389068542,74.5688383490444,74.7952177048994,75.0266158057623,74.7977883592559,3.40085136591794,3.6552588285844,3.91379010557521,3.65535054759825,"Alabama",2001,"Female","South","East South Central","AL","Alabama","AL"
"66",66,66,"Alabama.2001.Male",72.5044901789605,72.6364058796085,72.7709329269258,72.6382801909578,66.7093624560238,66.9571406713522,67.1976337321443,66.9586932368427,5.41137903259987,5.68086538712254,5.94754192526019,5.67958695411506,"Alabama",2001,"Male","South","East South Central","AL","Alabama","AL"
"67",67,67,"Alabama.2002.Female",78.2215020488826,78.3533437486568,78.4815393221601,78.3505857158049,74.4970506735351,74.7193697910116,74.9445430742383,74.7228520289083,3.37167649463454,3.62791847708413,3.89390153742136,3.6277336868966,"Alabama",2002,"Female","South","East South Central","AL","Alabama","AL"
"68",68,68,"Alabama.2002.Male",72.5243277304945,72.6680488300846,72.7968193785711,72.6668207305355,66.9428404300538,67.1778941014615,67.4202320191163,67.1761145251177,5.20521103253289,5.49661251151434,5.75882618716401,5.49070620541777,"Alabama",2002,"Male","South","East South Central","AL","Alabama","AL"
"69",69,69,"Alabama.2003.Female",78.1342548708418,78.257548526093,78.3951477150841,78.2586482404392,74.5706832431623,74.8193590776355,75.0614528276324,74.8201612655246,3.16175976077872,3.43335244639407,3.71339755849383,3.43848697491456,"Alabama",2003,"Female","South","East South Central","AL","Alabama","AL"
"70",70,70,"Alabama.2003.Male",72.5791213404477,72.7140560116915,72.8512771638865,72.7147886068084,67.0496332674812,67.2841720905806,67.5406227797736,67.2902561019473,5.13204242182352,5.42352792313888,5.70929820915914,5.42453250486114,"Alabama",2003,"Male","South","East South Central","AL","Alabama","AL"
"71",71,71,"Alabama.2004.Female",78.2269972777961,78.359344875782,78.4941553119629,78.3598905883782,74.7471704699127,74.9688255868617,75.1954813144888,74.9666155006808,3.1366241058771,3.39612103864947,3.65843151712083,3.39327508769738,"Alabama",2004,"Female","South","East South Central","AL","Alabama","AL"
"72",72,72,"Alabama.2004.Male",72.6360615933974,72.7798905775655,72.9149606089962,72.7797017020569,67.2429337053886,67.4776894231817,67.7339220528322,67.4812304503731,5.02768996894258,5.30400352646983,5.56422618927406,5.29847125168374,"Alabama",2004,"Male","South","East South Central","AL","Alabama","AL"
"73",73,73,"Alabama.2005.Female",78.1493140152795,78.2733488961363,78.4064850142892,78.2754435866395,74.9056418269587,75.1464434199697,75.3643743420216,75.1412538154375,2.88394015383258,3.13289592263277,3.40445005740824,3.13418977120201,"Alabama",2005,"Female","South","East South Central","AL","Alabama","AL"
"74",74,74,"Alabama.2005.Male",72.7104251608703,72.8602705107605,72.9961761988225,72.8591277784516,67.3613819347573,67.6206489282326,67.8589102203841,67.6156447532747,4.96561066920792,5.24224341665989,5.53143213049604,5.24348302517683,"Alabama",2005,"Male","South","East South Central","AL","Alabama","AL"
"75",75,75,"Alabama.2006.Female",78.308598699932,78.4402023347599,78.5669020719348,78.4393538407118,75.1749329924015,75.3956281851614,75.6128980753278,75.3946869006456,2.7883391353503,3.04778671049284,3.3108264357129,3.04466694006624,"Alabama",2006,"Female","South","East South Central","AL","Alabama","AL"
"76",76,76,"Alabama.2006.Male",72.7716166786356,72.9303567502803,73.0601833287254,72.9281480210095,67.5435446910771,67.8020297409387,68.042107838573,67.801901952367,4.84667033427876,5.12539225270805,5.42350357807987,5.12624606864255,"Alabama",2006,"Male","South","East South Central","AL","Alabama","AL"
"77",77,77,"Alabama.2007.Female",78.4197640045689,78.5464066382942,78.6670678677835,78.5473660312649,75.4623624878032,75.6919713912823,75.9319166961436,75.694492574207,2.59638635177158,2.85402245737501,3.10876777401511,2.85287345705786,"Alabama",2007,"Female","South","East South Central","AL","Alabama","AL"
"78",78,78,"Alabama.2007.Male",72.8595126501323,73.0129492191237,73.1500323510316,73.0085647653722,67.8915228107445,68.1562920114487,68.407770617923,68.1525566202668,4.55609112604748,4.85516519349406,5.15726164701299,4.8560081451054,"Alabama",2007,"Male","South","East South Central","AL","Alabama","AL"
"79",79,79,"Alabama.2008.Female",78.3521621438408,78.4809797355518,78.618827704894,78.4808254049135,75.7438819018767,75.9692747468812,76.2172846068835,75.9704580395872,2.2346067178913,2.51580434504091,2.76828059679954,2.51036736532636,"Alabama",2008,"Female","South","East South Central","AL","Alabama","AL"
"80",80,80,"Alabama.2008.Male",73.0132684708691,73.1697506329171,73.3097453761583,73.1657239530268,68.2606313936102,68.5085477813049,68.7570360861928,68.5061337815094,4.38152867292339,4.65695437237933,4.93624076009509,4.65959017151735,"Alabama",2008,"Male","South","East South Central","AL","Alabama","AL"
"81",81,81,"Alabama.2009.Female",78.512752925791,78.6424759576257,78.7710185310821,78.6420395587286,76.041652594135,76.2677970755764,76.5102075188308,76.26862214374,2.10405184756687,2.37433959342799,2.64068197686102,2.37341741498867,"Alabama",2009,"Female","South","East South Central","AL","Alabama","AL"
"82",82,82,"Alabama.2009.Male",73.1855541877211,73.3124136121839,73.4584806612166,73.3153464815342,68.6590256819267,68.9076941592541,69.151672343687,68.9063397694027,4.10717926898555,4.41095880214055,4.68787303380097,4.40900671213152,"Alabama",2009,"Male","South","East South Central","AL","Alabama","AL"
"83",83,83,"Alabama.2010.Female",78.5158637499029,78.6403126613146,78.7675016677897,78.6386096585517,76.1643647184867,76.4092123140407,76.640935548224,76.4102764911834,1.95220621649275,2.2307931986223,2.49127943632314,2.22833316736832,"Alabama",2010,"Female","South","East South Central","AL","Alabama","AL"
"84",84,84,"Alabama.2010.Male",73.2569591809034,73.3846599590178,73.5327911411493,73.3863681022943,69.0268173414479,69.2626419910536,69.4957115192684,69.2636039099867,3.83919108360048,4.12521718789738,4.39849678857524,4.12276419230759,"Alabama",2010,"Male","South","East South Central","AL","Alabama","AL"
"85",85,85,"Alabama.2011.Female",78.5032001285585,78.634025664619,78.7678544126872,78.6342077589213,76.3685122606081,76.6014260904361,76.8457248603151,76.5991755249015,1.76072641881631,2.03627076378547,2.29478627677184,2.0350322340198,"Alabama",2011,"Female","South","East South Central","AL","Alabama","AL"
"86",86,86,"Alabama.2011.Male",73.2730175572475,73.4150604766424,73.5647928742235,73.4158778082619,69.1172107426784,69.3835098064777,69.6365676311158,69.3812626372352,3.74507026863259,4.03121376283774,4.33067839108807,4.03461517102667,"Alabama",2011,"Male","South","East South Central","AL","Alabama","AL"
"87",87,87,"Alabama.2012.Female",78.4394921341942,78.5797741968794,78.71522087864,78.5808085171547,76.4318807412836,76.6926924145363,76.9436841091535,76.6912479575802,1.60336724192597,1.88615668093369,2.17055033939471,1.88956055957446,"Alabama",2012,"Female","South","East South Central","AL","Alabama","AL"
"88",88,88,"Alabama.2012.Male",73.3090657254133,73.4545770651529,73.6164836988901,73.4601496503457,69.2604405110656,69.532082135862,69.7831011769304,69.5307665110137,3.6240289283818,3.9268292933982,4.22614116529962,3.92938313933207,"Alabama",2012,"Male","South","East South Central","AL","Alabama","AL"
"89",89,89,"Alabama.2013.Female",78.5208369021667,78.6907627199777,78.8525325342098,78.6886186221799,76.5188765539232,76.7909421720504,77.0702532626127,76.7925381202581,1.5719152324379,1.89532915807407,2.20854298647886,1.89608050192183,"Alabama",2013,"Female","South","East South Central","AL","Alabama","AL"
"90",90,90,"Alabama.2013.Male",73.1647502310634,73.3383348016044,73.5092186560152,73.3376685680613,69.2441686302203,69.5356792706293,69.8317968995914,69.5373384365752,3.46160716480809,3.80408740436996,4.13761062358952,3.80033013148612,"Alabama",2013,"Male","South","East South Central","AL","Alabama","AL"
"91",91,1,"Arizona.1969.Female",76.0695375443384,76.3363893194547,76.6042066276764,76.3351592612046,71.4075397972919,72.9596494022042,74.8542031891537,73.0267698428151,1.45327676647429,3.38350288994023,4.95550932647497,3.30838941838954,"Arizona",1969,"Female","West","Mountain","AZ","Arizona","AZ"
"92",92,2,"Arizona.1969.Male",67.6247300900743,67.8883235789231,68.1598128322192,67.8869219718084,61.2415440261139,62.6397729501206,63.9243859115344,62.6198483764225,3.91540872029146,5.23614083967744,6.6635127787429,5.26707359538586,"Arizona",1969,"Male","West","Mountain","AZ","Arizona","AZ"
"93",93,3,"Arizona.1970.Female",76.1862817424177,76.4204529824238,76.6486421927687,76.4211375658336,71.6593802396048,73.0933326627096,74.7107722947808,73.1351996044109,1.65823175272869,3.34162500085022,4.79213601024983,3.28593796142272,"Arizona",1970,"Female","West","Mountain","AZ","Arizona","AZ"
